variavel,categoria,total_clientes,churners,taxa_churn,taxa_geral,desvio_pp,taxa_churn_pct,taxa_geral_pct,amostra_reduzida,elegivel_amostra,magnitude_desvio_pp
_churn_bin,1,2298,2298,1.0,0.1532,84.68,100.0,15.32,False,True,84.68
support_tickets,6,164,83,0.5060975609756098,0.1532,35.289756097560975,50.609756097560975,15.32,False,True,35.289756097560975
support_tickets,5,566,284,0.5017667844522968,0.1532,34.85667844522968,50.17667844522968,15.32,False,True,34.85667844522968
satisfaction_score,2.0,1455,730,0.5017182130584192,0.1532,34.85182130584192,50.171821305841924,15.32,False,True,34.85182130584192
satisfaction_score,1.0,753,367,0.48738379814077026,0.1532,33.41837981407703,48.73837981407703,15.32,False,True,33.41837981407703
_churn_bin,0,12702,0,0.0,0.1532,-15.32,0.0,15.32,False,True,15.32
satisfaction_score,4.0,5323,473,0.08885966560210408,0.1532,-6.434033439789593,8.885966560210408,15.32,False,True,6.434033439789593
satisfaction_score,3.0,3739,361,0.09654987964696443,0.1532,-5.665012035303557,9.654987964696444,15.32,False,True,5.665012035303557
satisfaction_score,5.0,3028,294,0.09709379128137384,0.1532,-5.610620871862617,9.709379128137384,15.32,False,True,5.610620871862617
satisfaction_score,Não informado,702,73,0.10398860398860399,0.1532,-4.921139601139601,10.3988603988604,15.32,False,True,4.921139601139601
support_tickets,4,1351,164,0.12139156180606958,0.1532,-3.180843819393042,12.139156180606959,15.32,False,True,3.180843819393042
support_tickets,0,2071,264,0.1274746499275712,0.1532,-2.5725350072428794,12.747464992757122,15.32,False,True,2.5725350072428794
support_tickets,3,2653,350,0.13192612137203166,0.1532,-2.127387862796834,13.192612137203167,15.32,False,True,2.127387862796834
support_tickets,2,4069,537,0.1319734578520521,0.1532,-2.122654214794789,13.197345785205211,15.32,False,True,2.122654214794789
support_tickets,1,4047,575,0.1420805534964171,0.1532,-1.1119446503582902,14.20805534964171,15.32,False,True,1.1119446503582902
refund_requested,1,2215,326,0.1471783295711061,0.1532,-0.6021670428893899,14.71783295711061,15.32,False,True,0.6021670428893899
is_premium_user,1,4567,686,0.15020801401357564,0.1532,-0.29919859864243614,15.020801401357565,15.32,False,True,0.29919859864243614
is_premium_user,0,10433,1612,0.15450972874532734,0.1532,0.13097287453273376,15.450972874532734,15.32,False,True,0.13097287453273376
refund_requested,0,12785,1972,0.15424325381306217,0.1532,0.10432538130621671,15.424325381306216,15.32,False,True,0.10432538130621671
discount_used,1,7417,1137,0.15329648105703114,0.1532,0.009648105703113918,15.329648105703114,15.32,False,True,0.009648105703113918
discount_used,0,7583,1161,0.15310563101674798,0.1532,-0.009436898325201892,15.310563101674799,15.32,False,True,0.009436898325201892
support_tickets,9,3,2,0.6666666666666666,0.1532,51.346666666666664,66.66666666666666,15.32,True,False,51.346666666666664
support_tickets,7,63,35,0.5555555555555556,0.1532,40.23555555555556,55.55555555555556,15.32,True,False,40.23555555555556
support_tickets,8,13,4,0.3076923076923077,0.1532,15.44923076923077,30.76923076923077,15.32,True,False,15.44923076923077
