variavel,n,n_churn,n_permaneceu,media_churn,media_permaneceu,mediana_churn,mediana_permaneceu,diferenca_media,diferenca_mediana,u_stat,p_value,rank_biserial,valido,motivo,p_value_fdr,magnitude_efeito
_churn_bin,15000,2298,12702,1.0,0.0,1.0,0.0,1.0,1.0,29189196.0,0.0,1.0,True,,0.0,1.0
total_spent,13950,2193,11757,347.7911801806639,557.291794889894,221.225961811842,524.766253406104,-209.50061470923015,-303.54029159426204,7649809.0,2.3861694993912463e-201,-0.40660287527089933,True,,1.1930847496956232e-200,0.40660287527089933
satisfaction_score,14298,2225,12073,2.818876404494382,3.7306386150915265,3.0,4.0,-0.9117622105971446,-1.0,8045922.0,3.2359006525578033e-216,-0.40095341355071257,True,,2.4269254894183524e-215,0.40095341355071257
support_tickets,15000,2298,12702,2.422976501305483,1.91828058573453,2.0,2.0,0.5046959155709532,0.0,16567016.5,3.4662936316927313e-26,0.13514716198418064,True,,1.2998601118847742e-25,0.13514716198418064
total_visits,15000,2298,12702,15.121845082680592,14.97905841599748,15.0,15.0,0.14278666668311146,0.0,14943563.5,0.06687416955445377,0.023910593494935517,True,,0.20062250866336134,0.023910593494935517
age,13797,2107,11690,35.332225913621265,35.190419161676644,35.0,35.0,0.1418067519446211,0.0,12512108.0,0.2422761887473679,0.015971284767910765,True,,0.6056904718684197,0.015971284767910765
email_open_rate,15000,2298,12702,0.49052219321148827,0.4973193197921587,0.49,0.5,-0.006797126580670443,-0.010000000000000009,14396514.0,0.29972344364130177,-0.01357241905532447,True,,0.6422645220885038,0.01357241905532447
marketing_spend_per_user,15000,2298,12702,17.45170583115753,17.597586994174144,17.405,17.655,-0.14588116301661458,-0.25,14424913.0,0.37437718484992855,-0.011626562101950344,True,,0.656800152845307,0.011626562101950344
nps_score,15000,2298,12702,5.011314186248912,4.960951031333648,5.0,5.0,0.050363154915263664,0.0,14726786.5,0.48712378166767656,0.009057358071801636,True,,0.6830230666521943,0.009057358071801636
is_premium_user,15000,2298,12702,0.29852045256744997,0.3055424342623209,0.0,0.0,-0.007021981694870949,0.0,14492115.0,0.5008835822116091,-0.0070219816948708935,True,,0.6830230666521943,0.0070219816948708935
refund_requested,15000,2298,12702,0.14186248912097477,0.14871673752165013,0.0,0.0,-0.006854248400675361,0.0,14494563.0,0.39408009170718417,-0.006854248400675389,True,,0.656800152845307,0.006854248400675389
delivery_delay_days,15000,2298,12702,2.987815491731941,2.980160604629192,3.0,3.0,0.007654887102748642,0.0,14675572.5,0.666481906257266,0.005548251483185718,True,,0.8331023828215826,0.005548251483185718
email_click_rate,15000,2298,12702,0.2506353350739774,0.2513391591875295,0.25,0.25,-0.0007038241135521317,0.0,14553363.5,0.8290622856654097,-0.0028253261926091122,True,,0.9073251390730617,0.0028253261926091122
last_3_month_purchase_freq,15000,2298,12702,6.991296779808529,6.972209100928987,7.0,7.0,0.01908767887954177,0.0,14631413.0,0.8468367964681909,0.0025225086706739397,True,,0.9073251390730617,0.0025225086706739397
discount_used,15000,2298,12702,0.49477806788511747,0.4944103290820343,0.0,0.0,0.00036773880308316187,0.0,14599965.0,0.9741196328000828,0.00036773880308316187,True,,0.9741196328000828,0.00036773880308316187
